time,x,y,z
1.237,-0.919312,-0.65118,7.85246
1.24799,-0.612875,-1.11084,9.26973
1.259,-0.536266,-1.41727,9.99752
1.26898,-0.268133,-1.22575,9.72939
1.27899,-0.689484,-1.03423,8.46534
1.28998,-1.11084,-1.07253,7.81416
1.30099,-1.53219,-1.37897,7.69924
1.311,-1.6088,-1.68541,8.31211
1.32098,-1.80032,-1.91523,8.73347
1.332,-1.95354,-1.80032,9.42295
1.401,-1.53219,-1.68541,10.1124
1.41098,-1.30236,-1.53219,10.2657
1.422,-0.881008,-1.53219,9.57617
1.43298,-1.18745,-1.30236,9.07821
1.44299,-1.53219,-1.37897,8.81008
1.45798,-1.76202,-1.30236,8.77177
1.46899,-1.72371,-1.34066,8.38873
1.479,-0.804398,-1.30236,9.38465
1.48999,-0.881008,-1.07253,10.4955
1.50101,-1.14914,-1.53219,9.8443
1.51199,-1.34066,-1.30236,9.53786
1.521,-1.30236,-0.957617,9.57617
1.53198,-1.22575,-0.919312,9.76769
1.543,-1.11084,-1.07253,9.65278
1.55399,-0.957617,-1.11084,9.69109
1.564,-0.919312,-0.957617,9.76769
1.629,-0.727789,-0.919312,9.806
1.63998,-0.536266,-0.766094,9.99752
1.64999,-0.612875,-0.766094,9.806
1.66098,-0.804398,-0.766094,9.61448
1.67099,-0.727789,-0.65118,9.72939
1.68201,-0.612875,-0.459656,9.69109
1.69199,-0.612875,-0.459656,9.92091
1.707,-0.57457,-0.65118,9.92091
1.71799,-0.612875,-0.459656,9.69109
1.729,-0.766094,-0.497961,9.806
1.73999,-0.57457,-0.459656,9.76769
1.75101,-0.459656,-0.421352,9.8443
1.76199,-0.57457,-0.383047,9.95922
1.772,-0.536266,-0.383047,9.69109
1.84299,-0.957617,-0.421352,9.61448
1.854,-0.766094,-0.229828,9.95922
1.86301,-0.536266,-0.229828,9.92091
1.87399,-0.497961,-0.268133,9.88261
1.88498,-0.497961,-0.153219,9.8443
1.89499,-0.612875,-0.153219,9.88261
1.905,-0.191523,-0.0766094,9.8443
1.91599,-0.191523,-0.229828,10.6104
1.927,-0.191523,0.0766094,10.5338
1.93698,-0.114914,-0.0766094,9.99752
1.948,-0.153219,0.0,9.95922
1.95798,-0.114914,-0.0766094,9.72939
1.97299,-0.114914,-0.0766094,9.88261
1.983,-0.114914,-0.0383047,9.88261
1.995,-0.153219,0.0,9.53786
2.06198,-0.114914,-0.114914,9.8443
2.07199,0.0383047,-0.0766094,9.69109
2.08298,0.0383047,-0.114914,9.99752
2.09399,0.0,-0.0766094,9.92091
2.104,-0.268133,-0.114914,9.42295
2.11398,0.0,0.0383047,9.76769
2.125,-0.268133,-0.0766094,9.76769
2.13599,-0.0383047,-0.0766094,9.88261
2.14499,-0.191523,-0.191523,9.72939
2.15601,-0.114914,0.0,9.69109
2.16699,-0.0766094,0.0,9.72939
2.17798,-0.0383047,0.0,9.61448
2.18799,0.0,-0.0766094,10.1507
2.198,0.114914,0.0383047,9.76769
2.20898,-0.0383047,0.0383047,9.88261
2.284,-0.191523,-0.0383047,10.1124
2.29498,-0.306437,0.0766094,11.5297
2.306,0.344742,0.0766094,11.3382
2.31598,-0.804398,-0.229828,11.6829
2.328,-0.881008,-0.114914,9.69109
2.33899,-0.842703,-0.344742,10.7253
2.349,-1.6088,-0.114914,10.687
2.35898,-1.34066,-0.191523,9.65278
2.37,-0.536266,-1.45558,9.69109
2.38098,-0.0383047,-0.497961,10.3806
2.392,0.306437,0.191523,10.5338
2.401,0.0383047,-0.344742,10.3423
2.41199,-0.536266,-0.881008,9.99752
2.423,-0.766094,-1.14914,9.61448
2.43399,-0.881008,-0.804398,8.54194
2.5,-1.6471,-1.07253,7.96737
2.50998,-1.6471,-1.30236,7.85246
2.51999,-1.6088,-1.72371,8.73347
2.535,-1.95354,-1.83862,9.46126
2.54599,-1.72371,-1.76202,9.26973
2.55701,-1.68541,-1.45558,8.92499
2.56699,-1.83862,-1.30236,9.11651
2.57898,-1.87693,-1.72371,9.30804
2.58899,-1.80032,-1.72371,9.19312
2.60001,-1.68541,-1.49388,8.88668
2.60999,-1.87693,-1.37897,8.42703
2.621,-1.87693,-1.45558,8.65686
2.63098,-1.76202,-1.45558,9.53786
2.642,-1.41727,-1.41727,10.2273
2.65198,-0.957617,-1.57049,10.4189
2.66299,-1.45558,-1.34066,9.49956
2.789,-0.995922,-0.881008,9.8443
2.79999,-0.842703,-0.919312,9.69109
2.811,-0.881008,-0.995922,9.806
2.82098,-0.727789,-0.957617,10.1124
2.832,-0.957617,-0.995922,9.88261
2.84198,-0.881008,-0.804398,9.72939
2.85599,-0.842703,-0.766094,9.806
2.867,-0.727789,-0.727789,9.806
2.879,-0.766094,-0.766094,9.806
2.88998,-0.881008,-0.689484,9.76769
2.89999,-0.689484,-0.766094,9.92091
2.91098,-0.804398,-0.612875,9.806
2.922,-0.766094,-0.612875,9.69109
2.93298,-0.842703,-0.536266,9.72939
2.94199,-0.65118,-0.57457,9.72939
3.009,-0.65118,-0.536266,9.72939
3.01999,-0.804398,-0.421352,9.57617
3.03,-0.383047,-0.268133,9.42295
3.03998,-1.30236,-0.497961,10.1124
3.05099,-1.41727,-0.306437,9.57617
3.06198,-0.881008,-0.459656,9.99752
3.07199,-0.65118,-0.0766094,9.8443
3.08298,-0.459656,-0.268133,9.806
3.09299,-0.766094,-0.344742,9.72939
3.108,-0.306437,-0.153219,9.72939
3.11798,-0.459656,-0.114914,9.49956
3.13,-0.459656,-0.0766094,9.99752
3.14099,-0.191523,-0.0766094,10.0358
3.151,-0.0766094,0.0,10.687
3.16199,-0.191523,-0.0383047,10.189
3.229,-0.114914,-0.0383047,9.8443
3.23999,-0.153219,-0.0766094,9.92091
3.25101,-0.229828,-0.153219,9.92091
3.26099,-0.0383047,-0.114914,9.806
3.271,-0.153219,0.0,9.65278
3.28198,-0.0766094,0.0,9.65278
3.293,-0.191523,-0.153219,9.806
3.30399,-0.153219,-0.0766094,9.8443
3.31299,-0.114914,-0.0383047,9.76769
3.32401,-0.153219,-0.0383047,9.8443
3.33499,-0.0383047,-0.0383047,10.0358
3.34598,-0.0383047,-0.153219,9.806
3.35999,-0.0766094,0.0383047,9.53786
3.371,-0.191523,-0.114914,9.99752
3.43698,-0.0766094,0.0,10.1124
3.448,0.0766094,-0.114914,10.5338
3.45999,-0.153219,0.114914,12.9087
3.47098,0.459656,0.0383047,10.0741
3.48099,-0.842703,0.0,9.72939
3.491,-0.612875,-0.383047,10.304
3.50198,-1.07253,-0.191523,11.2616
3.513,-1.41727,-0.0766094,10.3423
3.52298,-1.45558,-0.383047,9.806
3.53299,-0.804398,-1.45558,9.57617
3.54401,0.0766094,-0.689484,10.4189
3.55499,0.191523,0.0766094,10.3423
3.565,-0.0766094,-0.536266,10.4955
3.57599,-0.421352,-1.18745,10.189
3.586,-1.03423,-0.766094,7.85246
3.65298,-1.87693,-1.18745,7.20128
